int,ext,sample
0,20,1
0,30,1
0,100,1
0,200,1
0,300,1
0,3000,1
0,6000,1
0,20000,1
1460,900,1
365,30,1
365,800,1
365,40000,1
182.5,5000,1
182.5,300000,1
30,200,1
30,3000,1
30,4000,1
7,50,1
7,2000,1
0.5,0.75,1
0.75,1,1
1,400,1
0.041666667,40,1
0.041666667,50,1
0.020833333,3000,0
0.021,5000,0
1.16E-05,0.3,1
1.16E-05,10000,0
1.16E-05,100000,0
