"","Author","Year","Title","Journal","Volume","Issue","Pages"
"69575","Hicks, J. S., Burgman, M. A., Marewski, J. N., Fidler, F. and Gigerenzer, G.",2012,"Decision Making in a Human Population Living Sustainably","Conservation Biology","26"," 5 ","760-768"
"65200","Gayet, G., Guillemain, M., Benmergui, M., Mesleard, F., Boulinier, T., Bienvenu, J. P., Fritz, H. and Broyer, J.",2011,"Effects of seasonality, isolation and patch quality for habitat selection processes by mute swans Cygnus olor in a fishpond landscape","Oikos","120"," 6 ","801-812"
"49609","Wagner, A.",2008,"Robustness and evolvability: a paradox resolved","Proceedings of the Royal Society B-Biological Sciences","275"," 1630 ","91-100"
"71291","Alkhatib, M., Lehmann, M. F. and del Giorgio, P. A.",2012,"The nitrogen isotope effect of benthic remineralization-nitrification-denitrification coupling in an estuarine environment","Biogeosciences","9"," 5 ","1633-1646"
"78065","Gonzalez-Orozco, C. E., Thornhill, A. H., Knerr, N., Laffan, S. and Miller, J. T.",2014,"Biogeographical regions and phytogeography of the eucalypts","Diversity and Distributions","20"," 1 ","46-58"
"77647","Leingartner, A., Krauss, J. and Steffan-Dewenter, I.",2014,"Species richness and trait composition of butterfly assemblages change along an altitudinal gradient","Oecologia","175"," 2 ","613-623"
"47240","Little, A. E. F. and Currie, C. R.",2007,"Symbiotic complexity: discovery of a fifth symbiont in the attine ant-microbe symbiosis","Biology Letters","3"," 5 ","501-504"
"54296","Russell, A. P. and Higham, T. E.",2009,"A new angle on clinging in geckos: incline, not substrate, triggers the deployment of the adhesive system","Proceedings of the Royal Society B-Biological Sciences","276"," 1673 ","3705-3709"
"47108","Maridet, O., Escarguel, G., Costeur, L., Mein, P., Hugueney, M. and Legendre, S.",2007,"Small mammal (rodents and lagomorphs) European biogeography from the Late Oligocene to the mid Pliocene","Global Ecology and Biogeography","16"," 4 ","529-544"
"69342","Jiang, J., DeAngelis, D. L., Smith, T. J., Teh, S. Y. and Koh, H. L.",2012,"Spatial pattern formation of coastal vegetation in response to external gradients and positive feedbacks affecting soil porewater salinity: a model study","Landscape Ecology","27"," 1 ","109-119"
"58376","Sparholt, H. and Cook, R. M.",2010,"Sustainable exploitation of temperate fish stocks","Biology Letters","6"," 1 ","124-127"
"35298","Roze, D. and Rousset, F.",2004,"The robustness of Hamilton's rule with inbreeding and dominance: Kin selection and fixation probabilities under partial sib mating","American Naturalist","164","2","214-231"
"47012","Mduma, S. A. R., Sinclair, A. R. E. and Turkington, R.",2007,"The role of rainfall and predators in determining synchrony in reproduction of savanna trees in Serengeti National Park, Tanzania","Journal of Ecology","95"," 1 ","184-196"
